Configuracion,Estado,Error,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":128,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,12778.567303605667,31280.545435499393,6756.607245112107,18501.978131893724,401.0,"[24079.2994, 30729.2074, 40388.5688, 29925.1061]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":128,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,23533.605478079397,38148.32971680106,10017.31543099904,14614.724238721665,257.75,"[37344.6104, 46928.5296, 43945.0225, 24375.1564]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.0}",ok,,10356.045957804112,32802.845662039435,8817.28934786625,22446.799704235324,377.75,"[24810.5815, 30372.5233, 45401.15, 30627.1279]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.0}",ok,,19018.84262007238,32667.032538585674,8428.213324778177,13648.189918513293,399.5,"[25166.3179, 37913.112, 41756.1521, 25832.5482]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",ok,,10356.045957804112,32802.845662039435,8817.28934786625,22446.799704235324,377.75,"[24810.5815, 30372.5233, 45401.15, 30627.1279]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",ok,,19018.84262007238,32667.032538585674,8428.213324778177,13648.189918513293,399.5,"[25166.3179, 37913.112, 41756.1521, 25832.5482]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,10576.992861991988,32967.07816707796,9182.684070298454,22390.085305085973,362.25,"[24794.4863, 30315.1083, 46143.2269, 30615.4912]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,19015.101255132773,32666.23986833932,8408.95493255414,13651.138613206545,399.5,"[25202.9167, 37868.0683, 41759.8441, 25834.1304]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.0}",ok,,10825.448977205779,31995.921914432005,7584.22133246688,21170.472937226226,597.5,"[24445.001, 31174.3205, 42499.6287, 29864.7375]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.0}",ok,,20728.597838827125,34682.58073870111,8274.211157573867,13953.982899873983,415.25,"[30013.8527, 38174.4857, 44509.6294, 26032.3551]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",ok,,10825.448977205779,31995.921914432005,7584.22133246688,21170.472937226226,597.5,"[24445.001, 31174.3205, 42499.6287, 29864.7375]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",ok,,20728.597838827125,34682.58073870111,8274.211157573867,13953.982899873983,415.25,"[30013.8527, 38174.4857, 44509.6294, 26032.3551]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,11576.946032072809,32528.221370998453,6896.778152714541,20951.275338925647,555.75,"[26640.4015, 31141.4064, 42476.1177, 29854.96]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,20723.523640094052,34668.92758558251,8285.410143226682,13945.403945488459,415.25,"[29976.8169, 38173.9124, 44507.4515, 26017.5295]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":128,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.0}",ok,,13310.34604955682,33893.40527015785,4670.184407754219,20583.059220601026,777.0,"[30705.1701, 33959.2983, 40473.9474, 30435.2053]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":128,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.0}",ok,,23005.778702983065,37929.44440405255,7197.631521143464,14923.665701069483,565.5,"[33563.3747, 45749.765, 42085.8466, 30318.7913]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":128,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",ok,,13310.34604955682,33893.40527015785,4670.184407754219,20583.059220601026,777.0,"[30705.1701, 33959.2983, 40473.9474, 30435.2053]"
