Configuracion,Estado,Error,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,14148.535315506673,115954466873238.17,231908933126812.03,115954466859089.64,72.0,"[463817866563456.2, 62515.955, 800216.6963, 66763.8296]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,14443.158037676998,144304912945522.84,288609825760277.5,144304912931079.7,206.5,"[577219651585939.1, 52718.418, 76524.5193, 66909.3596]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32,16,8],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,10982.921095717054,59523449.73079594,118954259.2702374,59512466.80970023,404.0,"[237954837.5079, 35898.9078, 65204.913, 37857.5945]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32,16,8],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,10936.46625129554,7011190.06187128,13930771.07512388,7000253.595619984,198.25,"[27907337.246, 35831.7206, 64508.9703, 37082.3107]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32,16,8],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,11790.483510899421,6494572.878827696,12898970.905934041,6482782.395316796,114.0,"[25843024.874, 33111.1608, 48847.1307, 53308.3498]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32,16],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,10809.036507360614,65023.014610370185,9143.437515490159,54213.97810300957,274.0,"[56929.6425, 58424.5946, 68255.448, 76482.3734]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32,16],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,9261.129151496832,61715.40393078139,13651.409271694447,52454.274779284555,201.25,"[49338.4737, 50461.451, 73400.9446, 73660.7464]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32,16],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,12815.238014912957,57563.081006594584,16542.108806263448,44747.842991681624,98.25,"[43207.0896, 48425.0571, 58010.9351, 80609.2422]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64,32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,6265.883712782566,32678614013.967632,65356847839.16303,32678607748.08392,200.5,"[130713885772.5881, 82106.2266, 157656.6155, 330520.4403]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64,32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,5525.656101836437,159386388409.52878,318772344668.87726,159386382883.87268,124.75,"[637544905412.8037, 80795.4657, 172263.4131, 395166.4326]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64,32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,17550.17479472377,112382986251.75049,224765717690.955,112382968701.5757,200.25,"[449531562788.1524, 61487.4312, 57798.8433, 262932.5751]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,150298.64810780343,5639767.712860154,10498073.678103669,5489469.064752351,360.75,"[197840.5714, 176558.565, 803836.7225, 21380834.9925]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,130280.38657163088,6.5863373906283016e+16,1.3172674777542515e+17,6.586337390615274e+16,160.0,"[2.6345349556942077e+17, 184733.6223, 633091.8547, 54893501.6347]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,144468.2328616281,1.2733202564684947e+20,2.5466405129364403e+20,1.2733202564684933e+20,47.5,"[5.093281025873156e+20, 169047.7331, 319015.2825, 81850355.7019]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,125393.81421534468,452384888484568.7,904769775536190.2,452384888359174.9,277.25,"[1809539551788854.2, 329214.0064, 1464352.2304, 355854.314]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,129702.90325771234,13621240724977.893,27242480080806.543,13621240595274.99,91.5,"[54484960846187.695, 230193.5336, 1432106.4301, 391423.9138]"
