Configuracion,Semillas_completas,Cantidad_folds,RMSE_entrenamiento_promedio,RMSE_CV_repetida,Desviacion_RMSE_CV,Error_estandar_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",5,20,27064.800408210933,70524.49722500001,49183.15935496573,10997.688766590807,43459.69681678908,145.15
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0}",5,20,27076.64232377751,70559.221035,49239.97817829205,11010.393841726727,43482.578711222486,145.15
