Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",130721.32090410468,65812228.588514954,130825614.93014306,65681507.26761085,165.75,"[262050540.0916, 204143.0997, 477013.1406, 517218.0223]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",135249.44870239843,429799293.26119566,857776222.5308378,429664043.81249326,91.5,"[1716463169.2615, 204152.5423, 624384.4886, 1905466.7524]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",131428.76606394022,935019174.8195227,1867762649.8837326,934887746.0534588,109.0,"[3736662364.4235, 204146.1751, 95459.8603, 3114728.8192]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",185518.34970202076,1009375350.5300328,2018046398.8400912,1009189832.1803308,142.0,"[4036444916.1926, 204144.4409, 765486.2957, 86855.1909]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",254588.41497079626,1216471671.163145,2432422843.2185946,1216217082.7481742,128.0,"[4865105934.1574, 204161.6442, 207294.4828, 369294.3683]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",706448462.4653928,14285034491.841175,28544825626.217045,13578586029.375782,44.75,"[57102264831.9359, 204169.6899, 214976.0956, 37453989.6434]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",1036199.2806259601,109357367804.75891,218646958174.29868,109356331605.47829,91.75,"[437327797452.7112, 204164.0846, 953075.1132, 100516527.1268]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",602867.5044887371,112540278002.08015,225075558182.92062,112539675134.57567,65.75,"[450153615240.7568, 204173.0616, 164500.5441, 7128093.9581]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",820260.1532445218,1088523511485.4108,2177042549040.082,1088522691225.2576,42.5,"[4354087335042.613, 204147.8863, 151921.4504, 6354829.6933]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",2835821.4805785175,4099866729696.8706,8199732602845.498,4099863893875.39,87.25,"[16399465633965.117, 204171.8915, 583817.8376, 496832.6391]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",2358749.7666598535,21659251808654.6,43318503269109.95,21659249449904.836,80.75,"[86637006712319.53, 204164.4944, 115993.949, 202140.4216]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",24508041.821400728,63831276899951.86,127662542837897.08,63831252391910.04,95.25,"[255325091156797.12, 204170.2367, 752133.2677, 15486706.7524]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",8564542.29034746,125136331392703.44,250272662201308.62,125136322828161.14,96.0,"[500545324694666.3, 204144.1285, 458017.2933, 213985.9617]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",30161487.33876447,358654461445617.2,717308920761304.4,358654431284129.9,78.25,"[1434617842587573.8, 204173.4173, 170370.0259, 2820351.4227]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",34399327.01257942,650872857625181.4,1301745706392322.0,650872823225854.4,72.25,"[2603491417213664.5, 204166.6778, 952658.1858, 12130236.6883]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",1.9137955463402415e+24,1338218782950123.0,2676379515721513.5,-1.9137955450020228e+24,58.75,"[5352788056061053.0, 87024943250.7379, 79827.3778, 50716361.2905]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",115187454.38190004,4349715442843898.5,8699430885037112.0,4349715327656444.0,83.5,"[1.7398861770399568e+16, 86651.3742, 299057.9858, 590317.2439]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",2208050949.922846,2.710265264486461e+16,5.420530528948696e+16,2.710265043681366e+16,93.0,"[1.0841061057909504e+17, 44390.6708, 62990.872, 256018.5243]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",189991741.68524376,4.7782326739187656e+16,9.556465347634925e+16,4.778232654919591e+16,89.0,"[1.9112930695371152e+17, 204165.5453, 206996.213, 2627945.1457]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",396544961.15411115,5.803405086537032e+16,1.1606810171995533e+17,5.803405046882536e+16,95.5,"[2.3213620344530333e+17, 121082.9061, 471113.2315, 15585766.8694]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",521621055.6806282,8.727276967631061e+16,1.7454553935210483e+17,8.727276915468955e+16,69.25,"[3.4909107870446784e+17, 204174.2024, 193521.3353, 376926.2813]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",196652235.9858298,1.3438818683667338e+17,2.6877637354137898e+17,1.3438818664002114e+17,69.75,"[5.375527471487419e+17, 204170.8737, 1066400.6079, 196681038.2447]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",21002748913.73534,8.367019215329722e+17,1.673403843064692e+18,8.367019005302232e+17,63.0,"[3.34680768613001e+18, 84923.1874, 1384667.5298, 408873.7664]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",3310415975.6258492,1.8211364126885768e+18,3.6422728252856986e+18,1.821136409378161e+18,37.5,"[7.284545650617125e+18, 204164.7558, 505775.813, 136472119.1969]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",4238540354.3080263,2.3947154642309463e+18,4.789430928456502e+18,2.394715459992406e+18,82.0,"[9.5788618569157e+18, 3744257.9067, 67652.3356, 4274525.7209]"
