Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",30627.69698648994,62872.06451289255,38936.25428648091,32244.367526402613,73.5,"[41910.7785, 30886.5808, 60328.4819, 118362.4168]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",30530.109773508462,62991.29808717701,39030.03285457519,32461.18831366855,73.5,"[42204.8745, 30880.2513, 60218.7698, 118661.2967]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",33548.77406595834,64882.1639281087,43851.905480515976,31333.389862150354,65.0,"[38849.4746, 33381.4092, 58692.3287, 128605.4432]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",63147.148882410984,80225.99369435907,7160.415924333784,17078.84481194809,71.25,"[87169.8497, 79494.0545, 83668.6169, 70571.4537]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",49052.229300528714,83293.67732198224,20056.966516596767,34241.44802145352,128.0,"[75489.9433, 61446.8988, 87416.3809, 108821.4864]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",65499.15113543997,86455.1429508913,18482.139574849218,20955.99181545133,95.25,"[64040.0715, 91224.1537, 108391.1026, 82165.244]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",66196.62895232088,86663.91507855726,8322.437779711889,20467.286126236373,91.25,"[83671.7587, 76326.4838, 94580.6022, 92076.8156]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",52210.92775690951,86942.08046228977,28425.42034688342,34731.152705380264,128.25,"[78228.8476, 63850.5461, 77260.2642, 128428.664]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",62587.563507351384,87308.63432618181,17309.87047623205,24721.070818830427,103.25,"[104017.0896, 79382.7261, 99016.0531, 66818.6686]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",63972.47325773281,90453.63759066709,6849.190019654158,26481.164332934277,62.0,"[98710.1696, 92438.3404, 88177.6117, 82488.4287]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",71662.13128807484,91573.89294443773,12427.459311351571,19911.761656362884,100.0,"[76101.7863, 90879.2199, 106468.0903, 92846.4752]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",49449.80410508783,92589.85626047669,31851.95159650687,43140.05215538886,108.5,"[74262.7093, 73006.0099, 83211.5622, 139879.1437]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",67964.91065953247,92873.9222249359,14688.616518469049,24909.01156540343,101.25,"[91025.9675, 86061.0481, 113936.5092, 80472.1641]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",63895.61094554426,92991.12964555049,15050.283357729444,29095.518700006236,118.25,"[110883.4793, 86101.2547, 98701.4781, 76278.3065]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",69298.10888962797,93259.22083699204,12313.529093801393,23961.111947364072,117.0,"[81119.2368, 85089.6302, 99260.205, 107567.8113]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",50140.00596164807,93323.23669309501,17651.25929965622,43183.230731446936,158.75,"[75331.4538, 82024.509, 113182.3372, 102754.6467]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",72292.86168549884,93510.53212387153,8020.254691856823,21217.67043837269,103.5,"[99617.3656, 89323.8882, 100805.9957, 84294.8789]"
