Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",16552.843974515028,35247.12385272872,8383.785069776914,18694.279878213692,23.75,"[30069.9013, 26270.0313, 41039.8724, 43608.6904]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",21523.290592147332,36347.13461989169,6762.328657914813,14823.844027744355,21.0,"[30465.1289, 30580.0349, 43031.6313, 41311.7433]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",21524.77519364902,36346.034792507264,6761.038378491208,14821.259598858243,21.0,"[30464.6977, 30580.4839, 43029.193, 41309.7646]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",19946.935460793025,36450.69989084648,5908.511073075702,16503.764430053456,33.75,"[29636.1755, 33468.9721, 40506.2743, 42191.3777]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",19949.091803198153,36449.17145214458,5907.254321261739,16500.07964894643,33.75,"[29634.8339, 33469.6791, 40505.0043, 42187.1685]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",21176.44522593355,36954.057038259445,6405.931605265416,15777.611812325897,51.75,"[29480.2554, 34066.891, 43753.1227, 40515.959]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",21178.39098543995,36952.38494953205,6404.288165264046,15773.993964092097,51.75,"[29479.5614, 34067.5679, 43749.7077, 40512.7028]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",20426.196347580117,37322.597781772136,8159.51252299456,16896.40143419202,28.25,"[30433.9808, 30546.2434, 41606.0455, 46704.1214]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",20427.694593352437,37321.364613689,8157.770842542942,16893.670020336565,28.25,"[30433.6991, 30546.6665, 41604.8891, 46700.2037]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",21238.16997539068,36957.3830734685,7230.595136759537,15719.213098077824,39.0,"[30467.3819, 30989.3194, 42318.9683, 44053.8627]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",21239.562849673195,36956.42453968579,7229.499206761921,15716.861690012593,39.0,"[30466.9186, 30989.729, 42317.532, 44051.5186]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",17327.611294423492,38687.077590687746,15745.13775476266,21359.466296264254,30.5,"[28304.9661, 25891.1098, 40186.7323, 60365.5022]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",17713.826573049664,37935.21839939042,14296.304416373167,20221.391826340754,25.0,"[28385.0632, 25959.1054, 40130.0942, 57266.6108]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",16510.820072749946,37232.932526350276,14532.87064326661,20722.11245360033,14.25,"[27439.7915, 24490.468, 40709.3871, 56292.0835]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",14641.81218992858,37791.86106023806,15683.2814186911,23150.048870309478,20.0,"[27431.2072, 24262.9923, 40731.9606, 58741.2841]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",14917.794696555711,39407.22715364693,15213.181899957981,24489.432457091214,42.75,"[29264.5054, 26269.6231, 42449.0041, 59645.776]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",15412.951553580428,38291.63811678472,13237.240533895843,22878.686563204294,39.5,"[29192.4177, 26366.8012, 42492.1468, 55115.1868]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",18229.22753845641,37975.336249651526,14697.062031910913,19746.108711195116,26.0,"[29104.0017, 25200.6326, 39529.0031, 58067.7076]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",18013.060676800316,37934.80266899947,14357.632764558897,19921.741992199157,27.5,"[29030.9597, 25634.5192, 39507.9686, 57565.7632]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",17526.465633866355,39532.18469708934,15603.289376559804,22005.719063222983,15.25,"[29132.6946, 26386.9131, 42023.8745, 60585.2567]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",18092.42010126583,39781.29224687019,14975.569672519883,21688.872145604357,14.75,"[29124.9973, 27862.2055, 42059.0475, 60078.9187]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",18351.930168339673,40969.62024936704,19536.093904129375,22617.69008102737,15.25,"[29724.0186, 25514.3366, 39773.9482, 68866.1776]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",18297.802834100432,40215.56313796241,18054.940320578477,21917.760303861978,15.75,"[29815.5091, 25499.2429, 39777.6878, 65769.8127]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",17737.236698361536,40644.25170271823,18788.92659961202,22907.015004356697,23.25,"[29411.0339, 25749.7174, 40112.0026, 67304.2529]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",17766.188677873597,40615.559645876376,18822.937441192207,22849.37096800278,23.25,"[29398.7374, 25651.4766, 40096.3073, 67315.7173]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",16569.703659961895,40160.08173262033,17915.93186633539,23590.378072658437,18.25,"[30495.4738, 24900.8921, 39852.9459, 65391.0151]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",17129.871372364923,39981.62360542061,18005.013401110085,22851.752233055686,17.5,"[29608.9069, 25119.0635, 39839.1096, 65359.4144]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",18322.099581521325,37678.82102323026,14415.56407403845,19356.721441708934,39.0,"[28647.21, 25264.6477, 39519.6263, 57283.8]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",18289.02734864335,37563.94159192694,14267.745200681993,19274.914243283587,39.0,"[28641.2713, 25207.119, 39486.1154, 56921.2606]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",14251.466314005987,37530.97691311259,14546.860233253645,23279.5105991066,37.75,"[28217.5358, 25213.9521, 39333.8403, 57358.5795]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",14762.71934805231,37167.11366930086,14741.791387788457,22404.39432124855,30.75,"[28209.5735, 24187.405, 39118.2707, 57153.2054]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",19631.825301719706,36764.024359360854,12688.50595596444,17132.199057641148,36.75,"[29321.3615, 25144.6933, 38848.1207, 53741.922]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",19656.418080716372,36863.93085145719,12690.085274835112,17207.512770740817,36.75,"[29327.1754, 25383.1441, 38833.7965, 53911.6074]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",16155.533155062829,37122.86916959702,14974.679163408218,20967.33601453419,40.75,"[29080.5519, 23359.2408, 38516.4497, 57535.2342]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",16815.637302123854,37456.733422031204,14894.250744713918,20641.09611990735,31.0,"[29520.172, 23894.9607, 38523.0227, 57888.7783]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",15012.166168499632,39216.62771473828,17167.595424831816,24204.461546238646,28.0,"[29572.0047, 23733.2446, 40924.3711, 62636.8904]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",13433.335041764249,39167.58639193081,16708.949855388546,25734.25135016656,34.75,"[29574.6803, 24238.8549, 40892.2581, 61964.5523]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",19003.899351495907,40215.660949807425,17907.53465618065,21211.761598311517,17.25,"[29153.2949, 26094.9112, 40095.5468, 65518.8909]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",19062.24545046084,40138.106097731594,17759.32652159771,21075.860647270754,17.25,"[29127.6366, 26117.9803, 40101.0868, 65205.7206]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",16616.53647821686,39172.18729931141,15551.730641005382,22555.650821094547,31.25,"[29702.55, 25881.6879, 40546.116, 60558.3953]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",16042.568150265084,38464.15649644844,15127.313523915625,22421.58834618336,33.5,"[29714.0674, 24695.9245, 40589.8297, 58856.8044]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",17456.25371349186,39535.21159961537,16162.548986731555,22078.957886123513,17.5,"[29777.2439, 25656.3522, 40949.4553, 61757.795]"
