Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",16955.17202116588,36591.58773399866,7013.522934759049,19636.415712832782,64.0,"[31220.2367, 29940.3223, 43653.1613, 41552.6307]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",31091.359101897397,37932.473589333575,5455.549388102389,6841.114487436178,80.0,"[32050.8209, 41031.2131, 43863.7941, 34784.0663]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",31100.89095579615,37931.54936143532,5455.7737966334025,6830.658405639169,80.0,"[32048.1563, 41039.5781, 43856.3519, 34782.1111]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",21283.772461562246,35164.023196483744,5582.483363040872,13880.250734921497,147.0,"[27248.6278, 35504.9464, 39960.3021, 37942.2164]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",21337.293909258613,35134.954797432205,5559.092870895067,13797.660888173592,147.0,"[27247.3911, 35537.1331, 39954.5957, 37800.6993]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",34463.474163342675,39508.895811643866,5281.162396863392,5045.421648301191,194.75,"[34517.9796, 44289.6425, 43849.8489, 35378.1124]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",34489.29287012251,39520.68259575384,5281.926250781065,5031.3897256313285,194.75,"[34534.8382, 44313.4694, 43850.8948, 35383.5281]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",20839.43724883105,38020.14210852733,5622.671926408395,17180.70485969628,97.75,"[31802.907, 35065.5546, 44249.0012, 40963.1056]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",20869.883721888105,38005.71064528131,5610.021579680883,17135.826923393204,97.75,"[31797.7013, 35078.317, 44243.7743, 40903.05]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",29430.21229757387,36842.966684917876,5320.841236743938,7412.7543873440045,143.5,"[33274.3973, 36349.2756, 44517.8836, 33230.3102]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",29440.47897696003,36843.13991589325,5321.4154418183125,7402.660938933219,143.5,"[33271.2703, 36358.0349, 44516.5048, 33226.7496]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",77428.97536434222,90129.41214591134,74261.93625363294,12700.436781569122,37.0,"[51995.5821, 201507.775, 52324.7677, 54689.5238]"
