Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",26730.47153259203,44292.19788963699,19525.801125920385,17561.72635704496,75.75,"[30966.6898, 29513.3954, 45061.6121, 71627.0943]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",26729.35267111422,44293.1542695781,19522.86231227294,17563.801598463884,75.75,"[30968.3915, 29517.6783, 45062.6344, 71623.9129]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",18551.580364573874,44689.192737383346,25488.896241047703,26137.61237280947,114.5,"[27800.9863, 26944.8984, 42649.8892, 81360.9971]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",18550.18510167183,44695.29414408484,25499.496767659428,26145.10904241301,114.5,"[27801.6784, 26945.4555, 42650.3295, 81383.7133]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",33753.02509214749,45830.56849317123,15475.397821717846,12077.543401023744,54.0,"[34583.9451, 32976.8096, 49624.1277, 66137.3916]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",26708.321975957635,46602.91647846212,17085.741014813353,19894.594502504482,89.0,"[34054.6537, 33631.1547, 48770.3297, 69955.5278]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",26709.424370746496,46603.86477087512,17082.386049907756,19894.440400128628,89.0,"[34059.0094, 33633.2563, 48771.6437, 69951.5497]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",18747.494335138035,47306.919141154984,28426.966465510133,28559.42480601695,79.5,"[29724.7752, 27035.0156, 44010.8586, 88457.0272]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",18458.96523728039,47307.734594377675,28752.80114751512,28848.769357097284,98.5,"[29197.0108, 28032.8176, 42743.2238, 89257.8862]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",18746.06948960724,47321.279795459675,28452.002239304427,28575.210305852437,79.5,"[29726.2931, 27036.8757, 44011.4295, 88510.5209]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",18457.899025218612,47326.17472580813,28786.651062718633,28868.27570058952,98.5,"[29198.8705, 28034.4848, 42742.3807, 89328.9629]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",37464.289606500206,47426.76631006865,16173.041496101387,9962.476703568442,48.25,"[34097.7626, 42508.9446, 42121.3678, 70978.9902]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",31764.519208866343,47468.02397970148,15994.512653667958,15703.504770835138,57.25,"[34877.4442, 37331.7962, 47696.9407, 69965.9148]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",26005.60114498981,48225.10598827293,22829.931916577283,22219.50484328312,117.25,"[34247.4773, 30874.3038, 46912.0184, 80866.6245]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",26001.739966730107,48226.81783058762,22835.244197736967,22225.077863857514,117.25,"[34248.7034, 30873.5289, 46907.3437, 80877.6953]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",29448.810123133888,48700.698500563216,20133.576646281235,19251.888377429328,84.25,"[33904.0273, 34785.0326, 49069.4381, 77044.296]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",34562.33760425048,49102.53578792313,18846.29158988358,14540.198183672648,68.0,"[34466.2038, 40822.3177, 44433.5085, 76688.1132]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",36329.101474962474,49915.33055468208,16413.44402019372,13586.229079719604,48.0,"[36858.595, 40146.8852, 49457.6193, 73198.2227]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",31234.96776597799,50135.000231952545,24439.42268995926,18900.032465974553,47.75,"[32459.1524, 35304.5301, 47268.1781, 85508.1403]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",33796.91897245982,50229.78463185842,23255.228211939317,16432.8656593986,72.75,"[38466.0406, 32660.3498, 45594.4503, 84198.2977]"
