Configuracion,Semillas_completas,Cantidad_folds,RMSE_entrenamiento_promedio,RMSE_CV_repetida,Desviacion_RMSE_CV,Error_estandar_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",5,20,14352.159115901453,24576.265285,3948.862179295052,882.9924266681699,10224.106169098548,66.7
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",5,20,14602.030280991425,24741.525950000003,4024.1922940441236,899.8367524013482,10139.495669008578,65.35
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",5,20,16507.449657890294,29446.533000000007,4351.871153098432,973.1079727648488,12939.083342109712,206.85
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",5,20,16597.558030613985,38112.405595000004,18090.137037956036,4045.0776139156387,21514.84756438602,80.8
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",5,20,19291.67090943975,38845.18239,6879.526723241998,1538.308940619549,19553.511480560253,180.3
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",5,20,15953.872781783244,39801.443264999994,21235.35783689094,4748.370364982103,23847.57048321675,83.75
