Configuracion,Estado,Error,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""original"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,21443.60935975584,26886.38857571393,1725.7004306862343,5442.7792159580895,216.25,"[24766.2929, 27577.5214, 28813.4475, 26388.2925]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0}",ok,,13889.298902207507,23821.552111130128,2677.1555618047723,9932.25320892262,176.75,"[19928.8393, 25231.6934, 25862.2732, 24263.4025]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",ok,,13889.44276622996,23821.3378858198,2677.5603531653023,9931.89511958984,176.75,"[19928.0719, 25231.6041, 25862.5168, 24263.1587]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,13889.71419611658,23820.601433626773,2678.4723128578357,9930.887237510193,176.75,"[19926.0695, 25230.7025, 25863.0291, 24262.6047]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.02,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0}",ok,,18406.357227015877,25865.48931397355,3448.7723047970317,7459.132086957674,90.75,"[21416.0956, 26207.0775, 29833.977, 26004.8071]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.02,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",ok,,18406.618828287606,25865.898523187927,3448.6313422512185,7459.2796949003205,90.75,"[21416.8945, 26206.9629, 29834.5, 26005.2368]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.02,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,18406.00119588869,25867.727047086853,3446.977719068257,7461.725851198164,90.75,"[21422.1936, 26206.5894, 29836.134, 26005.9912]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0}",ok,,21524.122758536552,27773.331811331598,4421.812655719676,6249.209052795046,95.5,"[24870.1587, 26542.0082, 34321.9682, 25359.192]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",ok,,21523.964642223487,27773.095988264427,4422.220432393899,6249.13134604094,95.5,"[24869.3357, 26541.2351, 34322.3748, 25359.4384]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,21523.70760894571,27773.471626930404,4425.167221269902,6249.764017984693,95.5,"[24867.5221, 26539.1037, 34327.3227, 25359.9381]"
