Configuracion,Semillas_completas,Cantidad_folds,RMSE_entrenamiento_promedio,RMSE_CV_repetida,Desviacion_RMSE_CV,Error_estandar_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,Rol
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0}",5,20,14023.729355851701,24815.797834999998,4391.288315125876,981.9219181421976,10792.068479148296,150.1,Menor RMSE
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",5,20,14521.566796631305,24855.44024,4004.7177130755213,895.4821037134363,10333.873443368695,325.7,Menor dispersion dentro de un error
