Configuracion,Semilla,Estado,Error,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",31415,ok,,9861.081532678774,28523.359889000032,1643.0534702112043,18662.278356321258,267.0,"[26451.3425, 28011.597, 30135.9962, 29494.5039]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",31415,ok,,17973.0028470508,36528.61078961846,2332.9117371725793,18555.60794256766,227.75,"[39426.7929, 35130.1743, 37335.6144, 34221.8615]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",2718,ok,,14766.028056895546,24410.00447550872,4699.14446009048,9643.976418613172,64.0,"[26898.2849, 29735.7989, 21264.6646, 19741.2695]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",2718,ok,,11227.45139515277,33005.33828133484,9182.181614845671,21777.886886182074,107.0,"[45700.782, 33222.0589, 28593.0425, 24505.4697]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",2718,ok,,15069.404876627845,25119.976976683913,5451.63761168301,10050.572100056068,64.0,"[29922.3991, 29692.5416, 21221.2373, 19643.73]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",2718,ok,,12006.082483881748,32096.194312927524,7588.4677482175275,20090.111829045774,95.0,"[42358.2556, 32891.7757, 28252.0013, 24882.7446]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",2718,ok,,16201.143416421106,28798.509597189404,3845.1164485918644,12597.366180768298,242.25,"[32559.307, 31458.94, 24466.0243, 26709.7671]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",2718,ok,,18960.07958226134,40366.507970977524,11584.109226710747,21406.428388716184,162.5,"[57242.4815, 38557.5137, 33539.0232, 32127.0136]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",7,ok,,14572.906189719231,25419.82918439662,5299.818873120118,10846.92299467739,45.5,"[24293.9305, 32814.4951, 20203.7651, 24367.1261]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",7,ok,,14389.378417615677,39786.43695223496,16678.34614682003,25397.058534619282,65.25,"[35578.965, 64430.0673, 30148.0411, 28988.6744]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",7,ok,,14246.59878357047,25431.04728252478,5268.140735940313,11184.448498954313,53.75,"[24431.9263, 32751.8485, 20186.2533, 24354.161]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",7,ok,,15975.227579692943,39653.858698568954,16006.404862895808,23678.631118876012,62.5,"[36032.6248, 63235.2787, 29346.835, 30000.6962]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",7,ok,,10275.503981282236,29100.01441881318,2814.343470625309,18824.510437530946,277.75,"[29843.5887, 32327.5145, 25548.0781, 28680.8765]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",7,ok,,12783.03768116251,37910.35082546807,5292.174021962423,25127.31314430556,246.25,"[37283.0918, 45453.9556, 33268.1233, 35636.2326]"
