Epoca,Perdida_entrenamiento_transformada,RMSE_early_stopping,Learning_rate
1,134.44616332654496,202026.2315568017,0.001
2,116.12190050050594,202022.96783220052,0.001
3,95.36324970560032,202012.06812529423,0.001
4,73.97118307574613,201971.34829518438,0.001
5,53.23907770468771,201796.7479140156,0.001
6,34.2095761002404,200919.69005124972,0.001
7,18.08067908749394,195702.47056650647,0.001
8,6.3272558966524866,159813.73322589244,0.001
9,0.6605834949939537,120129.07881986316,0.001
10,0.2664957519097715,48320.54654971369,0.001
11,0.06197740535983646,35106.95040813644,0.001
12,0.029537101048442458,29818.58011701187,0.001
13,0.02072377568959931,25975.13050685515,0.001
14,0.016574828810019447,26458.587142993238,0.001
15,0.013685180403982247,24909.527101825355,0.001
16,0.011899761883905844,22164.518282560366,0.001
17,0.010937599837240883,23080.034082438677,0.001
18,0.010235800841815133,21134.03117715444,0.001
19,0.009559438832093424,21747.755375041404,0.001
20,0.009388605962937372,20501.46019389222,0.001
21,0.00886302238651019,19080.641316999572,0.001
22,0.008507626772724772,19951.88991421925,0.001
23,0.008413218428797255,18626.966329697963,0.001
24,0.008198837310280625,19547.97293191955,0.001
25,0.007927390992069986,18481.587587907696,0.001
26,0.008067817264135425,20412.74954793035,0.001
27,0.007803528213822289,20403.745164986776,0.001
28,0.007705780624933595,19749.357535328752,0.001
29,0.007604396023265963,19472.036068963847,0.001
30,0.007570118026055838,19297.57975091743,0.001
31,0.007295412109833205,20295.770564589835,0.001
32,0.007495377641359907,19655.668494881793,0.001
33,0.007375685128150171,20362.980209395777,0.001
34,0.0074607320830721935,18608.233295991544,0.001
35,0.007324145548854309,18481.104199656183,0.001
36,0.007271418431517702,19302.437945622914,0.001
37,0.007237911218974076,20261.081005078166,0.001
38,0.007131753065495303,19376.400564315674,0.001
39,0.007148761145215261,20519.385258692477,0.001
40,0.007173400775255843,23079.557737346033,0.001
41,0.007381576721255927,20110.496170700015,0.001
42,0.007391142722235402,19430.941796746236,0.001
43,0.007428115093608841,20017.95167341058,0.001
44,0.007636027912004122,18574.005191875072,0.001
45,0.007332847503522025,23566.50136951605,0.001
46,0.007310262170260403,23053.69021469198,0.001
47,0.007295607833135145,19365.191352355858,0.001
48,0.006942318532718332,19691.36256254433,0.001
49,0.0071128555317443035,21564.47007363746,0.001
50,0.007139607397340745,19852.481836093513,0.001
51,0.007446976821982826,21440.373829202254,0.001
52,0.0073647779808817745,20049.009475277955,0.001
53,0.006843181405157153,21585.36660771695,0.001
54,0.007243287260340885,22908.374733694618,0.001
55,0.00723393089185144,19905.87752169462,0.001
56,0.006936027262057953,20499.64455365807,0.001
57,0.006948137384948527,20106.91469649617,0.001
58,0.006933987194567099,21374.52796799903,0.001
59,0.007111890143115079,21761.649057204715,0.001
60,0.007326005508532875,19849.90331674685,0.001
