Epoca,Perdida_entrenamiento_transformada
1,134.79304523139973
2,109.32120677001353
3,80.15736514754612
4,52.10154810350123
5,27.888684842158888
6,9.819635344371749
7,0.9515089436596675
8,0.29783944857904016
9,0.06015453065679173
10,0.03021979944309087
11,0.01866622382651383
12,0.014544169242317611
13,0.012640745477425963
14,0.010790246030823751
15,0.009936640501315236
16,0.009411664373019404
17,0.008822518641115407
18,0.00874254354721974
19,0.008098348089624242
20,0.008307850989455893
21,0.007991874076801304
22,0.007696137742965461
23,0.008014372051109992
24,0.0076079333924141505
25,0.007655872707083565
26,0.007412555013126545
27,0.007184663404200309
28,0.007118815484088308
29,0.00712943571580789
30,0.007045939097899477
31,0.006917881478466259
32,0.007014605755567624
33,0.006903476917004116
34,0.0068421482396854374
35,0.0070805297500890945
36,0.00710156787168555
37,0.007092372090979056
