Epoca,Perdida_entrenamiento_transformada
1,134.20282085521802
2,109.23040820222522
3,81.6563750320922
4,55.021900251983716
5,31.596232261938898
6,13.347819764139611
7,2.499423374122132
8,0.2892890085971912
9,0.07957785236088591
10,0.03213154277432463
11,0.021796685757907223
12,0.014340737518792656
13,0.012356619860894556
14,0.010477839481698793
15,0.010206760724214723
16,0.009326522913589817
17,0.00890683520388508
18,0.008278227841403765
19,0.008240230805961373
20,0.008008276924710601
21,0.007691438055851243
22,0.0076077076485174585
23,0.007770222925217204
24,0.007611497847651674
25,0.007307614055656684
26,0.007175132694038624
27,0.007303716640013295
28,0.007015588615519848
29,0.0069793149524572
30,0.007031232766184672
31,0.006911633847423209
32,0.007138641672414849
33,0.007086596849857296
34,0.006870949396026076
35,0.006933828533217494
36,0.006882010645596928
37,0.007063478948800145
38,0.006764382836740711
39,0.006900674092562764
40,0.006895789369730238
41,0.007593047011103618
42,0.006900207741364507
43,0.0067397981884383595
44,0.006793196731835091
45,0.006803325887687083
