Epoca,Perdida_entrenamiento_transformada
1,128.38825385166328
2,103.25632302474038
3,76.59558641588366
4,51.36097095873784
5,29.458419907590972
6,12.511246572255503
7,2.4189098320663414
8,0.23626726041994164
9,0.06857335794927594
10,0.02956859744554363
11,0.020211097278634512
12,0.014688645107374144
13,0.012351640978374996
14,0.011066731076953013
15,0.010213386670157715
16,0.009668896227608222
17,0.00924000624310985
18,0.008810551308498189
19,0.008503988720430861
20,0.00875296303773578
21,0.00820751824125611
22,0.007854811461637808
23,0.007565837650941982
24,0.00784738491808753
25,0.007542126361253221
26,0.007764770124217436
27,0.007492127883218284
28,0.007210315470595178
29,0.007359863860711126
30,0.007193573366127524
31,0.007389277244943219
32,0.007423089317181114
33,0.007135370071217674
34,0.007098903677012103
35,0.0071273355319162405
36,0.006964515578871277
37,0.007034468028639473
38,0.007231942263571431
39,0.0072374791433206355
40,0.007033902466416139
41,0.007248987054740621
