Epoca,Perdida_entrenamiento_transformada
1,137.5659311467951
2,113.78042100161241
3,87.93272054986227
4,62.818601106835814
5,40.36650559708879
6,21.646141790347837
7,8.02234519435967
8,1.0185891815463506
9,0.21768128654075197
10,0.05044126860266528
11,0.028028179930307942
12,0.0176657834147499
13,0.013797773194730429
14,0.012349313028907308
15,0.01112891781928718
16,0.010176920695848196
17,0.009683674594950325
18,0.009144718566547886
19,0.008675732731096062
20,0.008365077863582376
21,0.008348486404545623
22,0.008104125090419367
23,0.007772148497567423
24,0.007579863137801244
25,0.007604285443078095
26,0.007810105956376917
27,0.008326087936447792
28,0.00803035405906105
29,0.00775193949332987
30,0.007874547721273483
31,0.00792771863066923
32,0.007747451354879932
