Epoca,Perdida_entrenamiento_transformada
1,132.15986430850018
2,102.60187194974182
3,72.27972648301933
4,44.49080069352134
5,21.73936908309524
6,6.162395882665086
7,0.3904045146571916
8,0.15941367248938182
9,0.05190680100049375
10,0.021186711591570033
11,0.015516504819255495
12,0.012630876496946782
13,0.011380165394313212
14,0.010041940524826326
15,0.009458122619356805
16,0.00882076848348653
17,0.008446736988915859
18,0.008237855751479287
19,0.00800246308976441
20,0.007949242668102796
21,0.007546070694273535
22,0.00767183831048539
23,0.008022715276935544
24,0.0077280261855874515
25,0.007390888969594709
