Epoca,Perdida_entrenamiento_transformada,RMSE_early_stopping,Learning_rate
1,134.62468864120726,202026.3263352328,0.001
2,117.12510373105879,202023.33294163784,0.001
3,97.10012777634881,202013.74219083154,0.001
4,76.49337501360263,201980.038673751,0.001
5,56.527114360273835,201848.59944988583,0.001
6,38.147949262914366,201266.84600800485,0.001
7,22.25528928201899,198361.41936205936,0.001
8,9.863965284289568,182174.30635444,0.001
9,2.2062861433336254,91159.22124313666,0.001
10,0.2015684802521845,131212.82373567813,0.001
11,0.11312701591922647,60822.98465676607,0.001
12,0.04625698497084909,46596.780257194434,0.001
13,0.026849108951654172,33901.51044638109,0.001
14,0.01955277031468155,22864.01469555957,0.001
15,0.013902833386069614,22597.073378358276,0.001
16,0.012443693400550682,21484.140339542955,0.001
17,0.011095922550809193,20632.20569751124,0.001
18,0.010174897816113039,20527.897526997036,0.001
19,0.009660598072567052,20407.279106649876,0.001
20,0.009379331747611767,19443.99103088826,0.001
21,0.008889335130817121,19126.33787054246,0.001
22,0.008657366149909201,19114.317038389876,0.001
23,0.008585511287606918,19376.15482925532,0.001
24,0.008206038632701041,18759.38672827344,0.001
25,0.00825139042731326,19923.848984798595,0.001
26,0.008081658838341058,18416.446630038965,0.001
27,0.008037169203809133,18534.092264747636,0.001
28,0.008044640720968827,18443.69884810322,0.001
29,0.008001154924806223,19527.18931821762,0.001
30,0.007587584447218092,18921.562665174715,0.001
31,0.007454663790040009,17990.938875467233,0.001
32,0.007381921513450861,17954.78198415018,0.001
33,0.0076339217974344745,18770.35454632807,0.001
34,0.007265359090503666,19986.901550101797,0.001
35,0.007737478216390318,17974.771081168532,0.001
36,0.007496806736307707,17576.05727708232,0.001
37,0.00737401271406049,17335.021245484535,0.001
38,0.0071156350336429785,18774.50230324919,0.001
39,0.007049781597164149,18391.17680160992,0.001
40,0.007125420529562468,18044.18832771287,0.001
41,0.006972961731567742,18080.134353521884,0.001
42,0.007060772640962159,18261.573396157077,0.001
43,0.007131576247637291,19150.286523259543,0.001
44,0.006974177646643432,18222.47770422888,0.001
45,0.006999578471154018,20221.638478165114,0.001
46,0.007274601764858373,17496.87065432162,0.001
47,0.007367987004438936,17811.11077223529,0.001
48,0.00749161854243464,17408.25048839145,0.001
49,0.007016636135377389,18277.462452536467,0.001
50,0.007101781528130411,19124.24121400648,0.001
51,0.006996220283010805,17584.115869132773,0.001
52,0.006925129147001182,19842.26732564983,0.001
53,0.007404204107572994,18502.496701591394,0.001
54,0.0073840449329643535,18808.26869637916,0.001
55,0.00737935037644615,19036.69215751178,0.001
56,0.0071297706187030165,18883.460850811134,0.001
57,0.007047746551537134,18144.16495838043,0.001
58,0.00711880597742827,19252.241728610275,0.001
59,0.0070111112926538105,18494.17130973262,0.001
60,0.007062378133257633,17836.70510505948,0.001
61,0.00719730899899702,18239.205753289065,0.001
62,0.007714841875359524,19542.688624698134,0.001
63,0.007321328929505498,21946.13015357043,0.001
64,0.007526309031982368,18101.90921892173,0.001
65,0.007377791568210993,18482.44732614525,0.001
66,0.007264154399819295,19004.823219933813,0.001
67,0.0068638864796818945,18220.492163422685,0.001
68,0.006914796594762164,20635.228936224754,0.001
69,0.007157090891627043,17796.32585424839,0.001
70,0.007047080732720288,18994.01881538901,0.001
71,0.00712375572509255,19001.47807783501,0.001
72,0.00684431591778778,18044.505189336105,0.001
