Metodo,Cantidad_modelos,Cantidad_folds,RMSE_promedio,Desviacion_RMSE,Error_estandar_RMSE,Diferencia_vs_mejor_individual
Ensemble_1,1,20,24864.83039629847,3707.9295293299756,829.1182483360625,0.0
Ensemble_3,3,20,24407.726352715617,4066.820405569707,909.3686879137128,-457.10404358285086
Ensemble_5,5,20,24169.482682255468,3954.307768596383,884.210097453702,-695.3477140430005
Individual_2026,1,20,24864.83039629847,3707.9295293299756,829.1182483360625,0.0
Individual_2718,1,20,25305.91432552394,3759.536756293081,840.657975098039,441.08392922547137
Individual_31415,1,20,25345.807619559346,4484.294622154519,1002.7187606274239,480.9772232608775
Individual_42,1,20,25517.098417133624,4287.720085504393,958.7633579679033,652.2680208351558
Individual_7,1,20,24966.901365429538,3859.0676402389345,862.913757334396,102.07096913106943
Individual_promedio,1,20,25200.110424788985,3775.4816255477344,844.223356252614,335.280028490517
