Semilla_particion,Fold,Metodo,Cantidad_modelos,RMSE
2718,1,Individual_promedio,1,28419.224554212815
2718,1,Ensemble_1,1,25395.415487971295
2718,1,Ensemble_3,3,28633.53809840182
2718,1,Ensemble_5,5,25765.408964219285
2718,2,Individual_2026,1,29928.073759259383
2718,2,Individual_42,1,30432.64907243646
2718,2,Individual_31415,1,30540.424092901776
2718,2,Individual_2718,1,29735.79892643159
2718,2,Individual_7,1,30633.114183429407
2718,2,Individual_promedio,1,30254.012006891724
2718,2,Ensemble_1,1,29928.073759259383
2718,2,Ensemble_3,3,30035.485932576976
2718,2,Ensemble_5,5,29938.713302496137
2718,3,Individual_2026,1,21227.318191418246
2718,3,Individual_42,1,20584.38567130725
2718,3,Individual_31415,1,21619.462564157922
2718,3,Individual_2718,1,21264.66456554599
2718,3,Individual_7,1,20983.123263285477
2718,3,Individual_promedio,1,21135.790851142978
2718,3,Ensemble_1,1,21227.318191418246
2718,3,Ensemble_3,3,20663.969266408796
2718,3,Ensemble_5,5,20486.786435039456
2718,4,Individual_2026,1,22253.232428915773
2718,4,Individual_42,1,22421.585789119465
2718,4,Individual_31415,1,20805.229064224404
2718,4,Individual_2718,1,19741.26946541153
2718,4,Individual_7,1,21900.971763990983
2718,4,Individual_promedio,1,21424.45770233243
2718,4,Ensemble_1,1,22253.232428915773
2718,4,Ensemble_3,3,20551.169548589187
2718,4,Ensemble_5,5,20145.275365417623
31415,1,Individual_2026,1,25836.929041608684
31415,1,Individual_42,1,26215.58252698545
31415,1,Individual_31415,1,23615.99164398827
31415,1,Individual_2718,1,25798.90414403503
31415,1,Individual_7,1,25276.133768235944
31415,1,Individual_promedio,1,25348.708224970676
31415,1,Ensemble_1,1,25836.929041608684
31415,1,Ensemble_3,3,24304.866063778638
31415,1,Ensemble_5,5,24519.777596955955
31415,2,Individual_2026,1,22369.50446576417
31415,2,Individual_42,1,21319.920625308838
31415,2,Individual_31415,1,22519.429997290328
31415,2,Individual_2718,1,21841.23481757453
31415,2,Individual_7,1,24269.91843791804
31415,2,Individual_promedio,1,22464.00166877118
31415,2,Ensemble_1,1,22369.50446576417
31415,2,Ensemble_3,3,21586.75218631461
31415,2,Ensemble_5,5,21007.54642623676
31415,3,Individual_2026,1,22810.142618002785
31415,3,Individual_42,1,23578.404522735626
31415,3,Individual_31415,1,23217.595604264825
31415,3,Individual_2718,1,21930.771655642795
31415,3,Individual_7,1,24315.44753673586
31415,3,Individual_promedio,1,23170.472387476377
31415,3,Ensemble_1,1,22810.142618002785
31415,3,Ensemble_3,3,22490.99420276045
31415,3,Ensemble_5,5,22251.78061385527
31415,4,Individual_2026,1,26020.714080112703
31415,4,Individual_42,1,25021.123110456105
31415,4,Individual_31415,1,25337.36806292911
31415,4,Individual_2718,1,25459.851266382997
31415,4,Individual_7,1,24222.55890157459
31415,4,Individual_promedio,1,25212.323084291103
31415,4,Ensemble_1,1,26020.714080112703
31415,4,Ensemble_3,3,25033.9170851131
31415,4,Ensemble_5,5,24465.91825935392
