Epoca,Perdida_entrenamiento_transformada,RMSE_early_stopping,Learning_rate
1,144.71581333452988,202027.4457077369,0.0001
2,142.79969025762313,202027.37659698416,0.0001
3,140.87983202347706,202027.29195267873,0.0001
4,138.94848500319398,202027.1944980513,0.0001
5,136.98594742814987,202027.08461406975,0.0001
6,134.97255725556965,202026.960256594,0.0001
7,132.90715442000527,202026.81918492724,0.0001
8,130.7942971037714,202026.66030611153,0.0001
9,128.6375957218507,202026.48172191664,0.0001
10,126.44242463615628,202026.28041786578,0.0001
11,124.22146285149537,202026.0516953787,0.0001
12,121.9679335995797,202025.79490853788,0.0001
13,119.70281520904231,202025.5050058002,0.0001
14,117.42366758752318,202025.1783904899,0.0001
15,115.13652166650886,202024.81179352273,0.0001
16,112.84725525962288,202024.39824830857,0.0001
17,110.55864467151603,202023.93045361346,0.0001
18,108.27048500160404,202023.40155429253,0.0001
19,105.98585346845745,202022.80625394205,0.0001
20,103.69753939991577,202022.1345162459,0.0001
21,101.41398761931445,202021.37569524042,0.0001
22,99.13939789304168,202020.507080949,0.0001
23,96.86163314620596,202019.52986118293,0.0001
24,94.59211448305078,202018.41819994524,0.0001
25,92.33012514901057,202017.15514941225,0.0001
26,90.07049652187938,202015.73290747902,0.0001
27,87.8238417077513,202014.10462145394,0.0001
28,85.59004275464115,202012.23420414494,0.0001
29,83.36074069474436,202010.09977241585,0.0001
30,81.13856230320357,202007.66878915497,0.0001
31,78.92583704063757,202004.90440556055,0.0001
32,76.7251962973654,202001.7199651159,0.0001
33,74.53759346063507,201998.04969028448,0.0001
34,72.35810201730466,201993.84646229906,0.0001
35,70.19418781021052,201989.01642250537,0.0001
36,68.04505925930702,201983.41268878343,0.0001
37,65.90326965597018,201977.03004285877,0.0001
38,63.779588166608136,201969.63976701483,0.0001
39,61.66936384165166,201961.0761778476,0.0001
40,59.57868723448382,201951.1256725219,0.0001
41,57.50293620174425,201939.6481085549,0.0001
42,55.44832315734775,201926.23060814955,0.0001
43,53.40852078273569,201910.7031719013,0.0001
44,51.3885005558969,201892.63723895946,0.0001
45,49.38970725339677,201871.6654899302,0.0001
46,47.41616757802784,201847.07894842754,0.0001
47,45.46077900512519,201818.37097040444,0.0001
48,43.531952434269286,201784.7300386693,0.0001
49,41.62885064154044,201745.22794527363,0.0001
50,39.751113698382454,201699.32955681987,0.0001
51,37.89829543427,201645.61418413054,0.0001
52,36.0732517104418,201582.12314548704,0.0001
53,34.28094916888843,201507.05569666813,0.0001
54,32.51703015560697,201418.95816562115,0.0001
55,30.784875803504423,201314.96974969722,0.0001
56,29.088531717722738,201191.44274330468,0.0001
57,27.42268030136263,201046.41958810997,0.0001
58,25.79492826503196,200875.72712905795,0.0001
59,24.20007979783584,200672.80358851113,0.0001
60,22.64484647041464,200431.06775728363,0.0001
61,21.133569151551264,200140.77824586118,0.0001
62,19.656326611376706,199798.27500438772,0.0001
63,18.220934814033562,199392.0944694968,0.0001
64,16.83420249729184,198903.42833374732,0.0001
65,15.483899820385725,198322.9689371161,0.0001
66,14.18617202576611,197625.47268683862,0.0001
67,12.932621512847767,196791.15985653456,0.0001
68,11.729803658083792,195788.5795057881,0.0001
69,10.577649758279582,194583.37064251737,0.0001
70,9.479366098230033,193133.97352743745,0.0001
71,8.427076004348512,191412.60163701978,0.0001
72,7.433374103347403,189316.56978148653,0.0001
73,6.494784551833025,186806.29743268763,0.0001
74,5.610786286863335,183746.18469866682,0.0001
75,4.787795381504616,180107.04114934086,0.0001
76,4.025841514902074,175654.17138191996,0.0001
77,3.3274640443528614,170340.58308821084,0.0001
78,2.6913989304461112,163940.7033502417,0.0001
79,2.1168844377252714,156296.3299613493,0.0001
80,1.6120550886076888,147116.01138348322,0.0001
81,1.1774928162653435,136218.42860894135,0.0001
82,0.8084198432272319,123446.00198188034,0.0001
83,0.5139993138924004,108977.98129321076,0.0001
84,0.2887608388657163,93592.3106724487,0.0001
85,0.14296430765547385,78939.97201470476,0.0001
86,0.0697918196145429,71490.42402799647,0.0001
87,0.05405623332614837,67937.03538799012,0.0001
88,0.04749234712395585,63783.459349728066,0.0001
89,0.04088684034502799,60626.64968701022,0.0001
90,0.03718793826169629,58203.778335616014,0.0001
91,0.034174420068905774,55900.66589178712,0.0001
92,0.031868245848892564,53872.48827851168,0.0001
93,0.02990914048295463,52075.707823750134,0.0001
94,0.028293059831525587,50626.40641386848,0.0001
95,0.026849274209521268,49494.46397764155,0.0001
96,0.025618265157864684,48040.60421890474,0.0001
97,0.02447543628028609,46726.55683482911,0.0001
98,0.02350195845273659,45399.245927661425,0.0001
99,0.022553003256986868,44193.15557341067,0.0001
100,0.021768859834255253,43441.88125622219,0.0001
101,0.021003225082383316,42297.23433049453,0.0001
102,0.020327300116333533,41491.26191816198,0.0001
103,0.019767275282253232,40347.719256884346,0.0001
104,0.019095833072312145,39641.80481091086,0.0001
105,0.01855642087595853,39248.64535875481,0.0001
106,0.018057801508696483,38088.76683274405,0.0001
107,0.017572977155576396,37283.656934885425,0.0001
108,0.017170759885640634,36667.24755805917,0.0001
109,0.016787905596444646,36237.688045563424,0.0001
110,0.01640493948923696,35415.02624245304,0.0001
111,0.016016163891545254,34915.792469609645,0.0001
112,0.015691061222497187,34421.738288495566,0.0001
113,0.015364612192562452,33836.82134737021,0.0001
114,0.01510401233470043,33412.249698948704,0.0001
115,0.014799453003410191,32916.141295268324,0.0001
116,0.014539733500787301,32343.20108645098,0.0001
117,0.014279142441295422,32298.40048115514,0.0001
118,0.014052948214965515,31772.297959659154,0.0001
119,0.013806533057636187,31302.47938339466,0.0001
120,0.013605629413371147,30832.881761639183,0.0001
121,0.013384338348359948,30579.1778525899,0.0001
122,0.013191309113287288,30323.381421530685,0.0001
123,0.013010161397803451,30010.66776218988,0.0001
124,0.012843740702365483,29705.0707348575,0.0001
125,0.012639779958728425,29330.563046555846,0.0001
126,0.012495277379403584,29136.611625249454,0.0001
